repetition,apk,generating_script,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,completed,option_under_investigation,true_positive,successful,time2,total time,completed3,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,analyzeframeworks,nocallbacks,noexceptions,nothischainreduction,onesourceatatime,onecomponentatatime,pathspecificresults,enablereflection,singlejoinpointabstraction
1,nya.miku.wishmaster_54.apk,config_FlowDroid_aliasalgolazy.xml,2,506504.384,3,0,82,1,1,aliasalgo,TRUE,TRUE,16028,2964245,1,1,0.5,0.666666667,0.871428571,0.38125,0.530434783,LAZY,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,nya.miku.wishmaster_54.apk,config_FlowDroid_aplength5.xml,9,569866.5597,3,2,82,3,1,aplength,TRUE,TRUE,15674,2949821,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,nya.miku.wishmaster_54.apk,config_FlowDroid_aliasalgoptsbased.xml,3,144371.4611,3,1,82,1,1,aliasalgo,TRUE,TRUE,16088,2863796,1,1,0.7,0.823529412,0.852941176,0.3625,0.50877193,PTSBASED,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,nya.miku.wishmaster_54.apk,config_FlowDroid_aplength5.xml,9,569866.5597,3,2,82,3,1,aplength,TRUE,TRUE,15674,2949821,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,nya.miku.wishmaster_54.apk,config_FlowDroid_aliasalgolazy.xml,4,563757.8927,3,1,82,2,1,aliasalgo,TRUE,TRUE,16028,2964245,1,1,0.5,0.666666667,0.871428571,0.38125,0.530434783,LAZY,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,nya.miku.wishmaster_54.apk,config_FlowDroid_aplength5.xml,9,569866.5597,3,2,82,3,1,aplength,TRUE,TRUE,15674,2949821,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,nya.miku.wishmaster_54.apk,config_FlowDroid_aliasalgoptsbased.xml,3,157904.6435,3,1,82,1,1,aliasalgo,TRUE,TRUE,16088,2863796,1,1,0.7,0.823529412,0.852941176,0.3625,0.50877193,PTSBASED,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
